canonical_title,draft_key
"Variations and Fugue in E-flat Major, Op. 35, ""Eroica""",e flat major
Chaconne in G,g major
"Chaconne in G Major, HWV 435",g major
"Suite No. 2 in F Major, HWV 427 (Complete)",f major
Suite No. 3 in D Minor,d minor
"Suite in C Major, Z. 666 (Complete)",c major
Chaconne in F Minor,f minor
"Chromatic Fantasy and Fugue in D Minor, BWV 903",d minor
"Duet in E Minor, BWV 802",e minor
"Duet in G, BWV 804",g major
"English Suite No. 2  in A Minor, BWV 807, I. Prelude",a minor
"English Suite in A Minor, BWV 807",a minor
"English Suite no. 3 in G Minor, Prelude",g minor
French Suite No. 5 in G Major,g major
"Italian Concerto in F Major, BWV 971 (Complete)",f major
"Overture in the French Style in B Minor, BWV 831",b minor
"Partita No. 1 in B-Flat Major, BWV 825 (Complete)",b flat major
"Partita No. 2 in C Minor, I. Sinfonia",c minor
"Partita No. 4 in D Major, BWV 828",d major
Partita No. 6 in E Minor,e minor
"Partita in C Minor, BWV 826",c minor
"Prelude & Fugue in B flat minor, Book I, BWV 867",b flat minor
"Prelude & Fugue in G Minor, WTK II",g minor
"Prelude and Fuge in G-sharp Minor, WTC I, BWV 863",g sharp minor
"Prelude and Fugue in  F-sharp Major, WTC I , BWV 858",f sharp major
"Prelude and Fugue in A Major, WTC I, BWV 864",a major
"Prelude and Fugue in A Major, WTC II, BWV 888",a major
"Prelude and Fugue in A Minor, WTC I, BWV 865",a minor
"Prelude and Fugue in A Minor, WTC II,  BWV 889",a minor
"Prelude and Fugue in A Minor, WTC II, BWV 847",a minor
"Prelude and Fugue in A Minor, WTC II, BWV 889",a minor
"Prelude and Fugue in A-flat Major, WTC I",a flat major
"Prelude and Fugue in A-flat Major, WTC I, BWV 862",a flat major
"Prelude and Fugue in B Major, WTC I, BWV 868",b major
"Prelude and Fugue in B Major, WTC II, BWV 892",b major
"Prelude and Fugue in B Minor, WTC II",b minor
"Prelude and Fugue in B Minor, WTC II, BWV 893",b minor
"Prelude and Fugue in B-Moll, No. 22 WTKII",b moll***
"Prelude and Fugue in B-flat Minor, WTC I, BWV 867",b flat minor
"Prelude and Fugue in B-flat Minor, WTC II",b flat minor
"Prelude and Fugue in C Major, WTC  II, BWV 870",c major
"Prelude and Fugue in C Major, WTC II, BWV 846",c major
"Prelude and Fugue in C Major, WTC II, BWV 870",c major
"Prelude and Fugue in C Minor, WTC II, BWV 871",c minor
"Prelude and Fugue in C sharp major, WTC I, BWV 848",c sharp major
"Prelude and Fugue in C-Sharp Major, WTC I, BWV 848",c sharp major
"Prelude and Fugue in C-Sharp Minor, WTC I, BWV 849",c sharp minor
"Prelude and Fugue in C-sharp Major, BWV 848",c sharp major
"Prelude and Fugue in C-sharp Major, WTC I",c sharp major
"Prelude and Fugue in C-sharp Major, WTC I, BWV 848",c sharp major
"Prelude and Fugue in C-sharp Minor, Book I, BWV 849",c sharp minor
"Prelude and Fugue in C-sharp Minor, WTC I",c sharp minor
"Prelude and Fugue in C-sharp Minor, WTC I, BWV 849",c sharp minor
"Prelude and Fugue in C-sharp Minor, WTC II",c sharp minor
"Prelude and Fugue in D Major, Book II",d major
"Prelude and Fugue in D Major, WTC I, BWV 850",d major
"Prelude and Fugue in D Major, WTC II, BWV 874",d major
"Prelude and Fugue in D Minor, Book II",d minor
"Prelude and Fugue in D Minor, WTC I, BWV 851",d minor
"Prelude and Fugue in D Minor, WTC II,  BWV 875",d minor
"Prelude and Fugue in D Minor, WTC II, BWV 875",d minor
"Prelude and Fugue in D major, WTC I",d major
"Prelude and Fugue in D-flat Major, WTC I, BWV 848",d flat major
"Prelude and Fugue in D-sharp Minor, WTC II, BWV 877",d sharp minor
"Prelude and Fugue in E Major, WTC I, BWV 854",e major
"Prelude and Fugue in E Major, WTC I, BWV 854  ",e major
"Prelude and Fugue in E Minor WTC I, BWV 855",e minor
"Prelude and Fugue in E-flat Major, WTC I",e flat major
"Prelude and Fugue in E-flat Major, WTC II, BWV 876",e flat major
"Prelude and Fugue in E-flat Minor WTC I, BWV 853",e flat minor
"Prelude and Fugue in E-flat Minor, WTC I, BWV 853",e flat minor
"Prelude and Fugue in F Major, WTC I, BWV 856",f major
"Prelude and Fugue in F Major, WTC II",f major
"Prelude and Fugue in F Major, WTC II, BWV 880",f major
"Prelude and Fugue in F Minor, WTC I",f minor
"Prelude and Fugue in F Minor, WTC I, BWV 857",f minor
"Prelude and Fugue in F-sharp Major, WTC I, BWV 858",f sharp major
"Prelude and Fugue in F-sharp Minor, WTC II",f sharp minor
"Prelude and Fugue in F-sharp Minor, WTC II , BWV 883",f sharp minor
"Prelude and Fugue in F-sharp Minor, WTC II, BWV 883",f sharp minor
"Prelude and Fugue in G Major, WTC I",g major
"Prelude and Fugue in G Major, WTC I, BWV 860",g major
"Prelude and Fugue in G Major, WTC II, BWV 884",g major
"Prelude and Fugue in G Minor, WTC II",g minor
"Prelude and Fugue in G Minor, WTC II,  BWV 885",g minor
"Prelude and Fugue in G Minor, WTC II, BWV 885",g minor
"Prelude and Fugue in G-sharp Minor, WTC I, BWV 863",g sharp minor
"Prelude and Fugue in G-sharp Minor, WTC II, BWV 887",g sharp minor
Prelude from English Suite No. 3 in G Major,g major
"Prelude from English Suite No. 6 in D Minor, BWV 811",d minor
"Prelude from the English Suite No. 1 in A Major, BWV 806",a major
"Prelude from the English Suite No. 2 in A Minor, BWV 807",a minor
"Prelude from the English Suite No. 6 in D Minor, BWV 811",d minor
"Toccata from Partita No. 6 in E Minor, Missing Opening!!!!",e minor
"Toccata in C Minor, BWV 911",c minor
"Toccata in E Minor, BWV 914",e minor
Chaconne in D Minor,d minor
"Chaconne in D Minor, BWV 1004",d minor
Toccata in DMin.,d minor
"Prelude and Fugue in A Minor, S.462/1",a minor
Intermezzo Op. 118 No. 6 in E-flat Minor,e flat minor
Rhapsody Op. 79 No. 1 in B minor,b minor
"Sonata No. 1 in C Major, Op. 1",c major
"Sonata No. 3 in F Minor, Op. 5",f minor
"Sonata in F Minor, Op. 5",f minor
"Piano Sonata in C major, Hob. XVI:50 (Complete)",c major
"Sonata in A-Flat Major, Hob. XVI:46, I. Allegro moderato",a flat major
"Sonata in A-flat Major, Hob. XVI: 46, I. Allegro moderato",a flat major
"Sonata in A-flat Major, No. 31 Hob. XVI:46, 1st mov.",a flat major
"Sonata in B-flat Major, Hob.XVI:41",b flat major
"Sonata in C Major, Hob. XVI/50",c major
"Sonata in C Major, Hob. XVI: 50, I. Allegro",c major
"Sonata in C Major, Hob. XVI:48 (Complete)",c major
"Sonata in C Major, Hob. XVI:50",c major
"Sonata in C Major, Hob. XVI:50, 1st mov.",c major
"Sonata in C Major, Hob. XVI:50, First Movement",c major
"Sonata in C Minor, First Movement",c minor
"Sonata in C Minor, Hob. XVI:20, 1st mov.",c minor
"Sonata in C major, Hob. XVI: 50",c major
"Sonata in D Major, Hob. XVI:24",d major
"Sonata in E Major, Hob. XVI:31, First Movement",e major
"Sonata in E flat Major, Hob. XVI: 49, I. Allegro",e flat major
"Sonata in E-flat Major, Hob. XVI: 52, I. Allegro",e flat major
"Sonata in E-flat Major, Hob. XVI:52, 1st mov.",e flat major
"Sonata in E-flat Major, Hob. XVI:52, First Movement",e flat major
"Sonata in E-flat major, Hob. XVI:52, I. Allegro",e flat major
"Sonata in F Major, Hob. XVI:23",f major
"Sonata in G Major, Hob. XVI:6, First Movement",g major
"Sonata in in F Major, Hob. XVI: 23, I. Allegro moderato",in f major
"15 Variations and Fugue in Eb on an Original Theme ('Eroica Variations'), Op.35",e flat major
"Andante favori in F Major, WoO 57",f major
"Sonata No. 10 in G Major, Op. 14 No. 2, First Movement",g major
"Sonata No. 11 in B-flat Major, Op. 22, I. Allegro con brio",b flat major
"Sonata No. 11 in E-flat Major, Op. 22 (Complete)",e flat major
"Sonata No. 11, Op. 22 in B-flat Major, I. Allegro con brio",b flat major
"Sonata No. 12 in A-flat Major, Op. 26, First Movement",a flat major
"Sonata No. 15 in D Major, Op. 28, I. Allegro",d major
"Sonata No. 16 Op. 31 No. 1 in G Major, I. Allegro vivace",g major
"Sonata No. 16 in G Major, Op. 31 No. 1, First Movement",g major
"Sonata No. 16 in G Major, Op. 31 No. 1, First movement",g major
"Sonata No. 16 in G Major, Op. 31 No. 1, I. and II. ",g major
"Sonata No. 17 in D Minor, Op. 31 No. 2, 1st Movement",d minor
"Sonata No. 17 in D Minor, Op. 31 No. 2, First Movement",d minor
"Sonata No. 17 in D minor, Op. 31 No. 2, 1st mov.",d minor
"Sonata No. 17, Op. 31 No. 2 in D Minor ""Tempest"", I. Largo-Allegro","d minor ""temp"
"Sonata No. 18 in E-flat Major, Op. 31 No. 3, First Movement",e flat major
"Sonata No. 18 in E-flat Major, Op. 31, No. 3 (Complete)",e flat major
"Sonata No. 18, Op. 31 No. 3 in E-flat Major, I. Allegro",e flat major
"Sonata No. 21 in  C Major, Op. 53",c major
"Sonata No. 21 in C Major, Op. 53",c major
"Sonata No. 21 in C Major, Op. 53, ""Waldstein"", First Movement",c major
"Sonata No. 21 in C Major, Op. 53, 1st mov.",c major
"Sonata No. 21 in C Major, Op. 53, First Movement",c major
"Sonata No. 21 in C Major, Op. 53, I. Allegro con brio",c major
"Sonata No. 21 in C major, Op. 53, 1st mov.",c major
"Sonata No. 21 in C major, Op. 53, “Waldstein,” I. Allegro con brio",c major
"Sonata No. 23 in F Minor, Op. 57 ""Appassionata"", First Movement",f minor
"Sonata No. 23 in F Minor, Op. 57 (Complete)",f minor
"Sonata No. 23 in F Minor, Op. 57, First Movement",f minor
"Sonata No. 23 in F Minor, Op. 57, First movement",f minor
"Sonata No. 23, Op. 57 in F Minor, ""Appassionata"", I. Allegro assai",f minor
"Sonata No. 24 in F-Sharp Major, Op. 78",f sharp major
"Sonata No. 24 in F-sharp Major, Op. 78",f sharp major
"Sonata No. 24 in F-sharp Major, Op. 78, First Movement",f sharp major
"Sonata No. 26 in 3-flat Major, Op. 81a (2nd & 3rd Movements)",3 flat major
"Sonata No. 26 in E-Flat Major, Op. 81a, ""Les Adiex"", First Movement",e flat major
"Sonata No. 26 in E-flat Major, Op. 81a, I. Das Lebewohl. Adagio - Allegro",e flat major
"Sonata No. 27 in E Minor, Op. 90",e minor
"Sonata No. 27 in E Minor, Op. 90, First Movement",e minor
"Sonata No. 28 in A Major, Op. 101 (Complete)",a major
"Sonata No. 29 in B-flat Major, Op. 106",b flat major
"Sonata No. 3 in C Major, Op. 2 No. 3, First Movement",c major
"Sonata No. 3 in C Major, Op. 2 No. 3, I. Allegro con brio",c major
"Sonata No. 3 in C Major, Op. 2 No. 3, I. and II. ",c major
"Sonata No. 3, Op. 2 No. 3 in C major, I. Allegro con brio",c major
"Sonata No. 30 in E Major, Op. 109",e major
"Sonata No. 31 In A-flat Major, Op. 110",a flat major
"Sonata No. 31 in A-Flat Major, Op. 110 (Complete)",a flat major
"Sonata No. 31 in A-flat Major, Op. 110",a flat major
"Sonata No. 31 in A-flat Major, Op. 110 (Complete)",a flat major
"Sonata No. 31 in A-flat Major, Op. 110, First movement",a flat major
"Sonata No. 32 in C Minor, Op. 111",c minor
"Sonata No. 32 in C Minor, Op. 111 (Complete)",c minor
"Sonata No. 32 in C minor, Op. 111",c minor
"Sonata No. 4 in E-flat Major, Op. 7, 1st mov.",e flat major
"Sonata No. 4 in E-flat Major, Op. 7, First Movement",e flat major
"Sonata No. 4 in E-flat Major, Op. 7, I. Allegro molto e con brio",e flat major
"Sonata No. 5 in C Minor, Op. 10 No. 1, First Movement",c minor
"Sonata No. 5 in C Minor, Op. 10 No. 1, I. Allegro molto e con brio",c minor
"Sonata No. 7 in D Major, Op. 10 No. 3",d major
"Sonata No. 7 in D Major, Op. 10 No. 3, 1st mov.",d major
"Sonata No. 7 in D Major, Op. 10 No. 3, First Movement",d major
"Sonata No. 7, Op. 10 No. 3 in D Major, I. Presto",d major
"Sonata No. 8 in C Minor, Op.13",c minor
"Sonata Op. 31, No. 3 in E-flat Major",e flat major
Sonata Op. 54 in F Major,f major
"Sonata in A-flat, Op. 110",a flat
"Sonata in C Major, Op. 2 No. 3, 1st mov.",c major
"Sonata in C Major, Op. 53 'Waldstein'",c major
"Sonata in D Minor, Op. 31 No. 2 ""Tempest""",d minor
"Sonata in D minor, Op. 31, No. 2",d minor
"Sonata in E Major, Op. 109",e major
"Sonata in E Major, Op. 14, No. 1",e major
"Sonata in E-flat Major, Op. 81a",e flat major
"Thirty-Two Variaions in C Minor, WoO80",c minor
"Thirty-Two Variations  in C Minor, WoO 80",c minor
"Thirty-Two Variations in C Minor, WoO 80",c minor
"Thirty-Two Variations in C minor, WoO 80",c minor
"Thirty-Two Variations in C minor, WoO 80    ",c minor
"Sonata Op. 25 No. 5 in F-sharp Minor, First Movement",f sharp minor
"Sonata in B-flat Major, Op.24, No. 2",b flat major
Sonata in F# Min,f sharp min
"Sonata in F-sharp minor, op. 25 no. 5, 1st mov.",f sharp minor
Etude No. 6 in A Minor,a minor
"Fairy Tale in D Minor, Op. 54",d minor
"Fantasy in C Major, Op. 17",c major
"Sonata No. 1 in F-Sharp Minor, Op. 11 (Complete)",f sharp minor
"Sonata No. 1 in F-sharp Minor, Op. 11",f sharp minor
"Sonata No. 2 in G Minor, Op. 22",g minor
"Sonata No. 2 in G Minor, Op. 22 (Complete)",g minor
"Toccata in C Major, Op. 7",c major
"Toccata in C Major, Opus 7",c major
"Toccata in C, Op. 7",c major
Elegie in E-Flat Minor Op. 3,e flat minor
"Elegie in E-flat Minor, Op. 3 No. 1",e flat minor
Etude Tableaux Op. 39 No. 1 in C Minor,c minor
Etude Tableaux Op. 39 No. 6 in A Minor,a minor
Etude-Tableau Op. 39 No. 6 in A Minor,a minor
"Etude-Tableau in C Minor, Op. 39, No. 1",c minor
"Etude-Tableau in E-flat Minor, op. 39 No. 5",e flat minor
"Etude-Tableau, Op. 39 No. 6 in A Minor",a minor
Etude-Tableaux Op. 39 No. 5 in E-flat Minor,e flat minor
Etude-Tableaux Op. 39 No. 6 in A Minor,a minor
"Etude-Tableaux, Opus 33 No. 3 in C Minor",c minor
"Etude-Tableaux, Opus 39 No. 8 in D Minor",d minor
Moment Musicaux Op. 16 No. 4 in E Minor,e minor
"Moment Musicaux, Op. 16 No. 3 in B Minor",b minor
"Moment Musicaux, Op. 16 No. 4 in E Minor",e minor
Prelude Op. 23 No. 4 in D Major,d major
Prelude Op. 23 No. 6 in E-flat Major,e flat major
Prelude Op. 3 No. 2 in C-sharp Minor,c sharp minor
Prelude Op. 32 No. 8 in A Minor,a minor
"Prelude in C-sharp Minor, Op. 3, No. 2",c sharp minor
"Prelude in D Major, Op. 23, No. 4",d major
"Prelude in G-Sharp Minor,Op. 32 No. 12",g sharp minor
Sonata No. 2 in B-Flat Minor Op. 36 (1913),b flat minor
Sonata No. 2 in B-flat Minor,b flat minor
"Sonata No. 2 in B-flat Minor, Op. 36",b flat minor
"Sonata No. 2 in B-flat Minor, Op. 36 (1913)",b flat minor
"Sonata No. 2 in B-flat Minor, Op.36",b flat minor
"Sonata No. 2 in B-flat Minor, Opus 36",b flat minor
"Sonata in B-flat Minor, Op.36",b flat minor
Fantasy in C Min,c minor
"Rondo in A Minor,  K. 511",a minor
"Sonata K. 457 in C minor, I. Allegro molto",c minor
"Sonata in B-flat Major, K 333, First Movement",b flat major
"Sonata in B-flat Major, K. 281, First Movement",b flat major
"Sonata in B-flat Major, K. 333, 1st mov.",b flat major
"Sonata in B-flat Major, K. 333, I. Allegro",b flat major
"Sonata in B-flat Major, K. 570, 1st mov.",b flat major
"Sonata in B-flat Major, K.281",b flat major
"Sonata in C Major, K 330, I. Allegro moderato",c major
"Sonata in C Major, K279",c major
"Sonata in C Minor K457, First Movement",c minor k457
"Sonata in C Minor, K. 457",c minor
"Sonata in C Minor, K. 457, 1st mov.",c minor
Sonata in D Major K576,d major k576
"Sonata in D Major, K 284, First Movement",d major
"Sonata in D Major, K 576, First Movement",d major
"Sonata in D Major, K. 284, First Movement",d major
"Sonata in D Major, K. 311",d major
"Sonata in D Major, K. 576 (Complete)",d major
"Sonata in D Major, K. 576, I - Allegro",d major
"Sonata in D Major, K. 576, II - Adagio",d major
"Sonata in D Major, K.311",d major
"Sonata in D-Major, K. 311, First Movement",d major
Sonata in F,f major
Sonata in F K332,f major
"Sonata in F Major, K 332 (Complete)",f major
"Sonata in F Major, K. 280, 1st mov.",f major
"Sonata in F Major, K280",f major
"Sonata in F Major, K533",f major
"Sonata in F Major, K533/K494",f major
